Disease,Definition
Abdominal Aortic Aneurysm,Readcode ever recorded
Abdominal Hernia ,Readcode ever recorded
Acne,Readcode ever recorded
Acoustic Neuroma,Readcode ever recorded
Actinic keratosis,Readcode ever recorded
Alcohol Problem,Readcode ever recorded
Alcoholic Liver Disease,Readcode ever recorded
Alcohol-related Brain Injury,Readcode ever recorded
Allergic And Chronic rhinitis,Readcode ever recorded
Alopecia Areata,Readcode ever recorded
Anaemia Aplastic,Readcode ever recorded
Anaemia Folate Deficiency,Readcode ever recorded
Anaemia Haemolytic,Readcode ever recorded
Anaemia Nos,Readcode ever recorded
Angiodysplasia of colon,Readcode ever recorded
Ankylosing Spondylitis,Readcode ever recorded
Anorectal Prolapse,Readcode ever recorded
Anorexia and Bulimia Nervosa,Readcode ever recorded
Anterior and Intermediate Uveitis,Readcode ever recorded
Anxiety,Readcode ever recorded
Asbestosis,Readcode ever recorded
Asthma,Readcode ever recorded
Atrial Fibrillation,Readcode ever recorded
Atrioventricular Block Complete,Readcode ever recorded
Atrioventricular Block Second Degree,Readcode ever recorded
Attention Deficit Hyperactivity Disorder,Readcode ever recorded
Autism and Asperger’s Syndrome,Readcode ever recorded
Autoimmune liver Disease,Readcode ever recorded
Barrett’s Oesophagus,Readcode ever recorded
Benign neoplasm Aortic carotid Body Neuroendocrine,Readcode ever recorded
Benign neoplasm Central nervous System,Readcode ever recorded
Benign neoplasm Gastrointestinal Tract,Readcode ever recorded
Benign neoplasm Gynaecological,Readcode ever recorded
Benign neoplasm Of Coccygeal body,Readcode ever recorded
Benign neoplasm Of Glomus Jugulare,Readcode ever recorded
Benign tremor,Readcode ever recorded
Bipolar affective Disorder and Mania,Readcode ever recorded
Bladder Dysfunction,Readcode ever recorded
Bronchiectasis,Readcode ever recorded
Cancer Haematological,Readcode ever recorded
Cancer Solid organ,Readcode ever recorded
Carcinoma in situ_Cervical,Readcode ever recorded
Cardiomyopathy other,Readcode ever recorded
Cataract,Readcode ever recorded
Cerebral palsy,Readcode ever recorded
Cholelithiasis,Readcode ever recorded
Choroid plexus Papillomanos,Readcode ever recorded
Chronic Constipation,4 or more prescription within 12 months period
Chronic Dermatitis Eczema,Readcode ever recorded
Chronic Fatigue Syndrome,Readcode ever recorded
Chronic Kidney Disease,Readcode ever recorded
Chronic Liver disease And Viral hepatitis,Readcode ever recorded
Chronic Obstructive Pulmonary Disease (COPD),Readcode ever recorded
Chronic Pain,4 or more prescription within 12 months period
Chronic Pancreatitis,Readcode ever recorded
Chronic Sinusitis,Readcode ever recorded
Chronic Tinnitus,Readcode ever recorded
Chronic Urticaria,>4 readcodes
Coeliac Disease,Readcode ever recorded
Colonic polyp,Readcode ever recorded
Coronary Heart Disease,Readcode ever recorded
Corpus Luteum cyst,Readcode ever recorded
Cystic Fibrosis,Readcode ever recorded
Dementia,Readcode ever recorded
Depression,Readcode ever recorded
Dermatitis atopic contact,Readcode ever recorded
Dermoid cyst Of Ovary,Readcode ever recorded
Diabetes,Readcode ever recorded
Diabetic eye disease,Readcode ever recorded
Diabetic Neuropathy,Readcode ever recorded
Dilated Cardiomyopathy,Readcode ever recorded
Disc Disorders,Readcode ever recorded
Disorders of Autonomic Nervous System,Readcode ever recorded
Diverticular Disease,Readcode ever recorded
Down’s Syndrome,Readcode ever recorded
Dysmenorrhoea,Readcode ever recorded
End Stage Renal Disease,Readcode ever recorded
Endometrial Hyperplasia and Hypertrophy,Readcode ever recorded
Endometriosis,Readcode ever recorded
Epilepsy,Readcode ever recorded
Erectile Dysfunction,Readcode ever recorded
Essential Tremor,Readcode ever recorded
Fatty Liver,Readcode ever recorded
Female genital Prolapse,Readcode ever recorded
Fibromatoses,Readcode ever recorded
Gastritis and Duodenitis,Readcode ever recorded
Gastrooesophageal Reflux Disease,Readcode ever recorded
Glaucoma,Readcode ever recorded
Glomerulonephritis,Readcode ever recorded
Gout,Readcode ever recorded
Haemangioma any site,Readcode ever recorded
Hearing loss,Readcode ever recorded
Heart Failure,Readcode ever recorded
