"Read_code","Term","Disease"
"7A11000","Emerg repl aneurysm bifurc aorta by anast aorta to fem art","Abdominal Aortic Aneurysm"
"7A11211","Y graft of abdominal Aortic aneurysm (emergency)","Abdominal Aortic Aneurysm"
"7A13.00","Emergency replacement of aneurysmal segment of aorta","Abdominal Aortic Aneurysm"
"7A13.11","Emergency repair of aortic aneurysm","Abdominal Aortic Aneurysm"
"7A13411","Tube graft abdominal Aortic aneurysm (emergency)","Abdominal Aortic Aneurysm"
"7A13z00","Emergency replacement of aneurysmal segment of aorta NOS","Abdominal Aortic Aneurysm"
"G714.00","Abdominal aortic aneurysm without mention of rupture","Abdominal Aortic Aneurysm"
"G714.11","AAA - Abdominal aortic aneurysm without mention of rupture","Abdominal Aortic Aneurysm"
"G716.00","Aortic aneurysm without mention of rupture NOS","Abdominal Aortic Aneurysm"
"G716000","Thoracoabdominal aortic aneurysm, without mention of rupture","Abdominal Aortic Aneurysm"
"14AE.00","H/O: aortic aneurysm","Abdominal Aortic Aneurysm"
"7H12z00","Repair of recurrent inguinal hernia NOS","Abdominal Hernia"
"J310z00","Femoral hernia with gangrene NOS","Abdominal Hernia"
"J312000","Unilateral femoral hernia - irreducible","Abdominal Hernia"
"J313.00","Simple femoral hernia","Abdominal Hernia"
"J313z00","Simple femoral hernia NOS","Abdominal Hernia"
"J31y.00","Unspecified femoral hernia","Abdominal Hernia"
"J31yz00","Unspecified femoral hernia NOS","Abdominal Hernia"
"J31z.00","Femoral hernia NOS","Abdominal Hernia"
"J32..00","Umbilical hernia","Abdominal Hernia"
"J32..12","Paraumbilical hernia","Abdominal Hernia"
"J320100","Paraumbilical hernia with gangrene","Abdominal Hernia"
"J320z00","Umbilical hernia with gangrene NOS","Abdominal Hernia"
"J321.00","Umbilical hernia with obstruction","Abdominal Hernia"
"J321100","Paraumbilical hernia with obstruction","Abdominal Hernia"
"J321z00","Umbilical hernia with obstruction NOS","Abdominal Hernia"
"J322.00","Umbilical hernia - irreducible","Abdominal Hernia"
"J322100","Paraumbilical hernia - irreducible","Abdominal Hernia"
"J322z00","Umbilical hernia - irreducible and NOS","Abdominal Hernia"
"J323.00","Simple umbilical hernia","Abdominal Hernia"
"J323100","Simple paraumbilical hernia","Abdominal Hernia"
"J323z00","Simple umbilical hernia NOS","Abdominal Hernia"
"J32y.00","Unspecified umbilical hernia","Abdominal Hernia"
"J32y100","Unspecified paraumbilical hernia","Abdominal Hernia"
"J32yz00","Unspecified umbilical hernia NOS","Abdominal Hernia"
"J32z.00","Umbilical hernia NOS","Abdominal Hernia"
"J33..00","Ventral hernia","Abdominal Hernia"
"J33..11","Epigastric hernia","Abdominal Hernia"
"J33..12","Incisional hernia","Abdominal Hernia"
"J330.00","Ventral hernia with gangrene","Abdominal Hernia"
"J330100","Incisional hernia with gangrene","Abdominal Hernia"
"J330200","Epigastric hernia with gangrene","Abdominal Hernia"
"J330z00","Ventral hernia with gangrene NOS","Abdominal Hernia"
"J331.00","Ventral hernia with obstruction","Abdominal Hernia"
"J331100","Incisional hernia with obstruction","Abdominal Hernia"
"J331200","Epigastric hernia with obstruction","Abdominal Hernia"
"J331z00","Ventral hernia with obstruction NOS","Abdominal Hernia"
"J332.00","Ventral hernia - irreducible","Abdominal Hernia"
"J332000","Ventral hernia unspecified - irreducible","Abdominal Hernia"
"J332100","Incisional hernia - irreducible","Abdominal Hernia"
"J332z00","Ventral hernia - irreducible NOS","Abdominal Hernia"
"J333.00","Simple ventral hernia","Abdominal Hernia"
"J333000","Simple ventral hernia unspecified","Abdominal Hernia"
"J333100","Simple incisional hernia","Abdominal Hernia"
"J333200","Simple epigastric hernia","Abdominal Hernia"
"J333211","Epigastric hernia","Abdominal Hernia"
"J333z00","Simple ventral hernia NOS","Abdominal Hernia"
"J33z.00","Ventral hernia NOS","Abdominal Hernia"
"J33z000","Unspecified ventral hernia NOS","Abdominal Hernia"
"J33z100","Incisional hernia NOS","Abdominal Hernia"
"J33z200","Epigastric hernia NOS","Abdominal Hernia"
"25P2.00","O/E - reducible hernia","Abdominal Hernia"
"J35..00","Gluteal hernia","Abdominal Hernia"
"J36..00","Ischiorectal hernia","Abdominal Hernia"
"J37..00","Lumbar hernia","Abdominal Hernia"
"J373.00","Simple lumbar hernia","Abdominal Hernia"
"J37y.00","Unspecified lumbar hernia","Abdominal Hernia"
"J37z.00","Lumbar hernia NOS","Abdominal Hernia"
"J381.00","Obturator hernia with obstruction","Abdominal Hernia"
"J383.00","Simple obturator hernia","Abdominal Hernia"
"J38z.00","Obturator hernia NOS","Abdominal Hernia"
"J3A..00","Sciatic hernia","Abdominal Hernia"
"J3B..00","Retroperitoneal hernia","Abdominal Hernia"
"J3B3.00","Simple retroperitoneal hernia","Abdominal Hernia"
"J3C..00","Spigelian hernia","Abdominal Hernia"
"J3C0.00","Spigelian hernia with gangrene","Abdominal Hernia"
"J3C1.00","Spigelian hernia with obstruction","Abdominal Hernia"
"J3C3.00","Simple Spigelian hernia","Abdominal Hernia"
"J3Cy.00","Unspecified Spigelian hernia","Abdominal Hernia"
"J3Cz.00","Spigelian hernia NOS","Abdominal Hernia"
"J3D..00","Perineal hernia","Abdominal Hernia"
"J3y..00","Other specified hernias of abdominal cavity","Abdominal Hernia"
"J3y0.00","Other specified abdominal cavity hernia with gangrene","Abdominal Hernia"
"J3y1.00","Other specified abdominal cavity hernia with obstruction","Abdominal Hernia"
"J3y2.00","Other specified abdominal cavity hernia - irreducible","Abdominal Hernia"
"J3y3.00","Other specified abdominal cavity hernia - simple","Abdominal Hernia"
"J3yy.00","Other specified abdominal cavity hernia, unspecified","Abdominal Hernia"
"J3yz.00","Other specified abdominal cavity hernia NOS","Abdominal Hernia"
"J3yz.11","Richter's hernia","Abdominal Hernia"
"J3z..00","Abdominal cavity hernia NOS","Abdominal Hernia"
"J3z0.00","Unspecified abdominal cavity hernia with gangrene","Abdominal Hernia"
"J3z1.00","Unspecified abdominal cavity hernia with obstruction","Abdominal Hernia"
"J3z2.00","Unspecified abdominal cavity hernia - irreducible","Abdominal Hernia"
